Chrom.1		
UV		
ml	mAU	
0.225	0.1885894	
0.225	0.1892966	
0.226	0.1891898	
0.227	0.1884037	
0.228	0.1868541	
0.229	0.1852726	
0.23	0.1852432	
0.23	0.1859904	
0.231	0.1834467	
0.232	0.1815348	
0.233	0.1798809	
0.234	0.1771091	
0.235	0.1742478	
0.235	0.170131	
0.236	0.1674104	
0.237	0.1646576	
0.238	0.1615362	
0.239	0.1597674	
0.24	0.1563234	
0.24	0.1521769	
0.241	0.1490416	
0.242	0.1465394	
0.243	0.1446996	
0.244	0.1426368	
0.244	0.1386632	
0.245	0.134865	
0.246	0.1311703	
0.247	0.1287102	
0.248	0.1267047	
0.249	0.1240766	
0.249	0.1213201	
0.25	0.1179962	
0.251	0.1142885	
0.252	0.1116023	
0.253	0.1098693	
0.254	0.1064937	
0.254	0.1039842	
0.255	0.1012818	
0.256	0.1004337	
0.257	0.09975984	
0.258	0.09713917	
0.259	0.0943117	
0.259	0.09239758	
0.26	0.08910879	
0.261	0.08784561	
0.262	0.08582192	
0.263	0.08452108	
0.264	0.08487311	
0.264	0.082417	
0.265	0.07970861	
0.266	0.07909887	
0.267	0.07875113	
0.268	0.07836535	
0.269	0.07685061	
0.269	0.07479653	
0.27	0.07249201	
0.271	0.07141573	
0.272	0.06967014	
0.273	0.06785664	
0.274	0.06495205	
0.274	0.06281872	
0.275	0.06166568	
0.276	0.06083131	
0.277	0.05757124	
0.278	0.056269	
0.278	0.05639951	
0.279	0.05681391	
0.28	0.05538686	
0.281	0.05391206	
0.282	0.05213417	
0.283	0.05130667	
0.283	0.05022731	
0.284	0.04812388	
0.285	0.04735807	
0.286	0.04697007	
0.287	0.04465872	
0.288	0.04145581	
0.288	0.0386463	
0.289	0.03689341	
0.29	0.03470971	
0.291	0.0324526	
0.292	0.02897916	
0.293	0.02628212	
0.293	0.02520563	
0.294	0.0253637	
0.295	0.02424484	
0.296	0.02160949	
0.297	0.02004967	
0.298	0.0194355	
0.298	0.01711088	
0.299	0.013863	
0.3	0.009851231	
0.301	0.008562133	
0.302	0.008136425	
0.303	0.006810566	
0.303	0.003687474	
0.304	0.0001668437	
0.305	-0.001724286	
0.306	-0.003613332	
0.307	-0.005981936	
0.307	-0.006046146	
0.308	-0.007232235	
0.309	-0.007286115	
0.31	-0.009007369	
0.311	-0.01221842	
0.312	-0.01313604	
0.312	-0.01428907	
0.313	-0.0133325	
0.314	-0.01660451	
0.315	-0.01810908	
0.316	-0.02054069	
0.317	-0.02162948	
0.317	-0.02353453	
0.318	-0.02562078	
0.319	-0.02649648	
0.32	-0.02991776	
0.321	-0.03047832	
0.322	-0.03331467	
0.322	-0.03567918	
0.323	-0.03800907	
0.324	-0.03878066	
0.325	-0.03868818	
0.326	-0.03998305	
0.327	-0.03987394	
0.327	-0.04120515	
0.328	-0.04416722	
0.329	-0.04713099	
0.33	-0.04919296	
0.331	-0.05259141	
0.332	-0.05164551	
0.332	-0.05256316	
0.333	-0.05164043	
0.334	-0.05314334	
0.335	-0.05401612	
0.336	-0.05668089	
0.336	-0.05765217	
0.337	-0.06014492	
0.338	-0.06184743	
0.339	-0.06285784	
0.34	-0.06400602	
0.341	-0.06334705	
0.341	-0.06484103	
0.342	-0.0662762	
0.343	-0.06772475	
0.344	-0.06883549	
0.345	-0.07121227	
0.346	-0.07445193	
0.346	-0.07637136	
0.347	-0.07933831	
0.348	-0.08170054	
0.349	-0.08340091	
0.35	-0.08411165	
0.351	-0.0860514	
0.351	-0.08669311	
0.352	-0.08912597	
0.353	-0.09122863	
0.354	-0.09449839	
0.355	-0.09744498	
0.356	-0.09881587	
0.356	-0.09896767	
0.357	-0.1005515	
0.358	-0.09996392	
0.359	-0.09967875	
0.36	-0.102401	
0.361	-0.1048729	
0.361	-0.1067459	
0.362	-0.1081143	
0.363	-0.1094052	
0.364	-0.1112201	
0.365	-0.1131409	
0.366	-0.1149206	
0.366	-0.1164223	
0.367	-0.1178197	
0.368	-0.1192162	
0.369	-0.120124	
0.37	-0.1215633	
0.37	-0.1229027	
0.371	-0.1248344	
0.372	-0.1261443	
0.373	-0.127298	
0.374	-0.1282506	
0.375	-0.1304763	
0.375	-0.1320298	
0.376	-0.1325548	
0.377	-0.1341732	
0.378	-0.135603	
0.379	-0.1370257	
0.38	-0.1389335	
0.38	-0.1372028	
0.381	-0.1366044	
0.382	-0.1381338	
0.383	-0.1392083	
0.384	-0.1398108	
0.385	-0.1398242	
0.385	-0.1403544	
0.386	-0.1414532	
0.387	-0.1408618	
0.388	-0.1414263	
0.389	-0.1420073	
0.39	-0.1421446	
0.39	-0.1426924	
0.391	-0.1446588	
0.392	-0.1461564	
0.393	-0.1475066	
0.394	-0.1480043	
0.395	-0.149263	
0.395	-0.1494832	
0.396	-0.1501558	
0.397	-0.1521852	
0.398	-0.1541032	
0.399	-0.1549853	
0.399	-0.156878	
0.4	-0.1590377	
0.401	-0.1620864	
0.402	-0.1644978	
0.403	-0.1652828	
