Chrom.1		
UV		
ml	mAU	
0.223	0.2214489	
0.223	0.2633811	
0.224	0.3039198	
0.225	0.3441107	
0.226	0.3829175	
0.227	0.419487	
0.228	0.4526674	
0.228	0.4867609	
0.229	0.5177161	
0.23	0.5506262	
0.231	0.5793853	
0.232	0.6065057	
0.233	0.6302651	
0.233	0.6545822	
0.234	0.6767538	
0.235	0.6965839	
0.236	0.7146781	
0.237	0.7308894	
0.238	0.7447253	
0.238	0.7606872	
0.239	0.7743528	
0.24	0.7876412	
0.241	0.7984839	
0.242	0.8112423	
0.243	0.8207249	
0.243	0.8308144	
0.244	0.839367	
0.245	0.8503906	
0.246	0.8598158	
0.247	0.8688407	
0.248	0.8789504	
0.248	0.889082	
0.249	0.8956472	
0.25	0.9068366	
0.251	0.9159366	
0.252	0.9243287	
0.253	0.9346571	
0.253	0.9464645	
0.254	0.9549396	
0.255	0.9657403	
0.256	0.9756708	
0.257	0.9858297	
0.258	0.9966941	
0.258	1.00574	
0.259	1.014589	
0.26	1.025395	
0.261	1.036096	
0.262	1.046	
0.263	1.055926	
0.263	1.064807	
0.264	1.072825	
0.265	1.084102	
0.266	1.09225	
0.267	1.099835	
0.268	1.107757	
0.268	1.114434	
0.269	1.120554	
0.27	1.128123	
0.271	1.132223	
0.272	1.136445	
0.273	1.142809	
0.273	1.146969	
0.274	1.150527	
0.275	1.154436	
0.276	1.156369	
0.277	1.159758	
0.278	1.161951	
0.278	1.163695	
0.279	1.166687	
0.28	1.168367	
0.281	1.167592	
0.282	1.16567	
0.283	1.164181	
0.283	1.16194	
0.284	1.161274	
0.285	1.161014	
0.286	1.158459	
0.287	1.157926	
0.288	1.155822	
0.288	1.153616	
0.289	1.148632	
0.29	1.144565	
0.291	1.140418	
0.292	1.134257	
0.293	1.130579	
0.293	1.122816	
0.294	1.116257	
0.295	1.110543	
0.296	1.104398	
0.297	1.098642	
0.298	1.091412	
0.298	1.084578	
0.299	1.076341	
0.3	1.070912	
0.301	1.064853	
0.302	1.059643	
0.303	1.053705	
0.303	1.045344	
0.304	1.036748	
0.305	1.028591	
0.306	1.018202	
0.307	1.007165	
0.308	0.9960597	
0.308	0.9876664	
0.309	0.9789832	
0.31	0.9715195	
0.311	0.9623299	
0.312	0.9523207	
0.313	0.9438933	
0.313	0.9360127	
0.314	0.9266866	
0.315	0.916042	
0.316	0.9064575	
0.317	0.8971475	
0.318	0.8871891	
0.318	0.8778303	
0.319	0.8693139	
0.32	0.8620073	
0.321	0.8516826	
0.322	0.8409148	
0.323	0.830637	
0.323	0.8227926	
0.324	0.8141816	
0.325	0.80668	
0.326	0.8003143	
0.327	0.7943497	
0.328	0.7884232	
0.328	0.7824965	
0.329	0.7764258	
0.33	0.7687942	
0.331	0.7618983	
0.332	0.7568151	
0.333	0.7513372	
0.333	0.7466547	
0.334	0.7416828	
0.335	0.7398747	
0.336	0.7360174	
0.337	0.7303106	
0.338	0.7258306	
0.338	0.7232463	
0.339	0.718284	
0.34	0.7149276	
0.341	0.7100099	
0.342	0.7057678	
0.343	0.7020997	
0.343	0.6985994	
0.344	0.6912919	
0.345	0.6887096	
0.346	0.685397	
0.347	0.6793369	
0.348	0.6743499	
0.348	0.670653	
0.349	0.6663253	
0.35	0.6601608	
0.351	0.6562623	
0.352	0.6539166	
0.353	0.6499195	
0.353	0.6457143	
0.354	0.6410471	
0.355	0.6360366	
0.356	0.6300226	
0.357	0.6257448	
0.358	0.6231953	
0.358	0.618141	
0.359	0.6141001	
0.36	0.6106439	
0.361	0.6045355	
0.362	0.6000923	
0.363	0.5965106	
0.363	0.5947434	
0.364	0.5903534	
0.365	0.5899277	
0.366	0.5860285	
0.367	0.5822716	
0.368	0.5766209	
0.368	0.5716696	
0.369	0.5666786	
0.37	0.5629833	
0.371	0.5593199	
0.372	0.5567546	
0.373	0.5513459	
0.373	0.5458601	
0.374	0.5417667	
0.375	0.5395021	
0.376	0.5362074	
0.377	0.5322605	
0.378	0.5297307	
0.378	0.5264542	
0.379	0.523069	
0.38	0.5182415	
0.381	0.5139385	
0.382	0.5111818	
0.383	0.5054938	
0.383	0.5012828	
0.384	0.4938338	
0.385	0.4895256	
0.386	0.4826889	
0.387	0.4782624	
0.388	0.4737049	
0.388	0.4712836	
0.389	0.4669266	
0.39	0.4631749	
0.391	0.4569407	
0.392	0.452751	
0.393	0.4459836	
0.393	0.441504	
0.394	0.4370826	
0.395	0.4344157	
0.396	0.4272476	
0.397	0.4242045	
0.398	0.4209117	
0.398	0.4156418	
0.399	0.4084681	
0.4	0.404469	
0.401	0.4003284	
0.402	0.3973739	
0.403	0.3933814	
0.403	0.3913693	
0.404	0.385226	
0.405	0.3817305	
0.406	0.3788678	
0.407	0.3756494	
0.408	0.3704143	
0.408	0.3674577	
0.409	0.3640199	
0.41	0.3613015	
0.411	0.3576642	
0.412	0.3556274	
0.413	0.3533065	
0.413	0.3515187	
0.414	0.3476129	
0.415	0.3450396	
0.416	0.3390166	
0.417	0.3352757	
0.417	0.3278016	
0.418	0.3234065	
0.419	0.3186224	
0.42	0.3155734	
0.421	0.3102622	
0.422	0.3049984	
0.422	0.3005094	
0.423	0.2946684	
0.424	0.2919123	
0.425	0.287706	
0.426	0.2847396	
0.427	0.2798741	
0.427	0.2743545	
0.428	0.270469	
0.429	0.2659195	
0.43	0.2633444	
0.431	0.2607862	
0.432	0.2573369	
0.432	0.252614	
0.433	0.246914	
0.434	0.2425172	
0.435	0.2377086	
0.436	0.2319267	
0.437	0.2298036	
0.437	0.2276206	
0.438	0.2244251	
0.439	0.2195575	
0.44	0.2157493	
0.441	0.2124084	
0.442	0.2088755	
0.442	0.2065441	
0.443	0.2017593	
0.444	0.1982133	
0.445	0.1935683	
0.446	0.1906344	
0.447	0.1854127	
0.447	0.1805332	
0.448	0.1781287	
0.449	0.1756073	
0.45	0.1725098	
0.451	0.1655131	
0.452	0.1602539	
0.452	0.1545332	
0.453	0.1510852	
0.454	0.1472407	
0.455	0.1416053	
0.456	0.1377988	
0.457	0.1348401	
0.457	0.1295457	
0.458	0.1249645	
0.459	0.1207724	
0.46	0.1161797	
0.461	0.113692	
0.462	0.1099545	
0.462	0.1067829	
0.463	0.1011548	
0.464	0.09862953	
0.465	0.09415218	
0.466	0.08911411	
0.467	0.08452633	
0.467	0.08137878	
0.468	0.07783218	
0.469	0.07225579	
0.47	0.06815866	
0.471	0.06369012	
0.472	0.06252198	
0.472	0.05782814	
0.473	0.0556704	
0.474	0.05131701	
0.475	0.04761177	
0.476	0.0443787	
0.477	0.04251089	
0.477	0.03987772	
0.478	0.03690841	
0.479	0.03408207	
0.48	0.03041156	
0.481	0.0279812	
0.482	0.02376932	
0.482	0.02013559	
0.483	0.01612542	
0.484	0.01220436	
0.485	0.008312927	
0.486	0.005920905	
0.487	0.002726817	
0.487	-0.0008973333	
0.488	-0.004118476	
0.489	-0.007068262	
0.49	-0.009132097	
0.491	-0.0134465	
0.492	-0.01664724	
0.492	-0.02049407	
0.493	-0.02385071	
0.494	-0.02615608	
0.495	-0.02899138	
0.496	-0.03177859	
0.497	-0.03423356	
0.497	-0.0381276	
0.498	-0.04201609	
0.499	-0.04657213	
0.5	-0.05104944	
0.501	-0.05446548	
0.502	-0.05700033	
0.502	-0.06030144	
0.503	-0.06300154	
0.504	-0.06519012	
0.505	-0.06543845	
0.506	-0.06745867	
0.507	-0.07121547	
0.507	-0.07399865	
0.508	-0.07567775	
0.509	-0.07869953	
0.51	-0.08145104	
0.511	-0.08513486	
0.512	-0.08822833	
0.512	-0.09356137	
0.513	-0.09729533	
0.514	-0.1006493	
0.515	-0.10582	
0.516	-0.1092418	
0.517	-0.1121734	
0.517	-0.1157726	
0.518	-0.1190217	
0.519	-0.122624	
0.52	-0.1253655	
0.521	-0.1281193	
0.522	-0.129237	
0.522	-0.1323853	
0.523	-0.1331457	
0.524	-0.135607	
0.525	-0.1383502	
0.526	-0.1439789	
0.527	-0.1479066	
0.527	-0.1506517	
0.528	-0.154255	
0.529	-0.1578981	
0.53	-0.1613973	
0.531	-0.1648398	
0.532	-0.1675011	
0.532	-0.168969	
0.533	-0.1686988	
0.534	-0.1727694	
0.535	-0.1728997	
0.536	-0.1745549	
0.537	-0.1757515	
0.537	-0.1784908	
0.538	-0.1797094	
0.539	-0.1820374	
0.54	-0.1843102	
0.541	-0.185291	
0.542	-0.1881026	
0.542	-0.1936535	
0.543	-0.1953797	
0.544	-0.2003016	
0.545	-0.2037895	
0.546	-0.2091822	
0.547	-0.2106154	
0.547	-0.2129626	
0.548	-0.2160076	
0.549	-0.2190525	
0.55	-0.2206279	
0.551	-0.2231657	
0.552	-0.2245236	
0.552	-0.226784	
0.553	-0.228432	
0.554	-0.2314454	
0.555	-0.2338699	
0.556	-0.2377212	
0.557	-0.2406611	
0.557	-0.245006	
0.558	-0.2479826	
0.559	-0.2506458	
0.56	-0.2543082	
0.561	-0.2591206	
0.562	-0.2632807	
0.562	-0.2668101	
0.563	-0.2689384	
0.564	-0.2726716	
0.565	-0.2738437	
0.566	-0.2767245	
0.567	-0.2775881	
0.567	-0.2802184	
0.568	-0.2817994	
0.569	-0.2838467	
0.57	-0.2855323	
0.571	-0.290018	
0.572	-0.2922294	
0.572	-0.2957076	
0.573	-0.2985572	
0.574	-0.302185	
0.575	-0.3055921	
0.576	-0.3085512	
0.577	-0.309155	
0.577	-0.3108571	
0.578	-0.3120367	
0.579	-0.3137576	
0.58	-0.3160687	
0.581	-0.3186485	
0.582	-0.3194368	
0.582	-0.3213064	
0.583	-0.3232046	
0.584	-0.3234441	
0.585	-0.3264842	
0.586	-0.3294408	
0.587	-0.3315139	
0.587	-0.3331713	
0.588	-0.3359806	
0.589	-0.3383041	
0.59	-0.339662	
0.591	-0.3430767	
0.592	-0.345085	
0.592	-0.3483896	
0.593	-0.3534961	
0.594	-0.3554959	
0.595	-0.3608395	
0.596	-0.3611195	
0.597	-0.3624636	
0.597	-0.3683031	
0.598	-0.3696316	
0.599	-0.3727302	
0.6	-0.3753724	
0.601	-0.3798589	
0.602	-0.3814295	
0.602	-0.3825928	
