Chrom.1		
UV		
ml	mAU	
0.223	0.5990421	
0.224	0.6379586	
0.224	0.6754063	
0.225	0.7105131	
0.226	0.7435139	
0.227	0.7730475	
0.228	0.7998987	
0.229	0.8252177	
0.229	0.8499677	
0.23	0.8713678	
0.231	0.8898793	
0.232	0.9071916	
0.233	0.922614	
0.234	0.9373628	
0.234	0.9514515	
0.235	0.9639484	
0.236	0.9740506	
0.237	0.9824248	
0.238	0.9903471	
0.239	0.9972905	
0.239	1.002727	
0.24	1.007017	
0.241	1.010797	
0.242	1.014038	
0.243	1.016231	
0.244	1.017695	
0.244	1.020864	
0.245	1.023161	
0.246	1.024314	
0.247	1.023987	
0.248	1.024761	
0.249	1.026982	
0.249	1.028484	
0.25	1.029274	
0.251	1.031477	
0.252	1.034435	
0.253	1.036117	
0.254	1.038866	
0.254	1.041831	
0.255	1.044242	
0.256	1.046189	
0.257	1.048203	
0.258	1.049692	
0.259	1.050125	
0.259	1.050279	
0.26	1.051056	
0.261	1.053335	
0.262	1.056161	
0.263	1.058392	
0.264	1.059411	
0.264	1.059978	
0.265	1.060362	
0.266	1.060213	
0.267	1.059535	
0.268	1.059426	
0.269	1.059883	
0.269	1.058298	
0.27	1.057286	
0.271	1.055256	
0.272	1.052412	
0.273	1.049894	
0.274	1.046785	
0.274	1.041966	
0.275	1.037808	
0.276	1.03393	
0.277	1.029237	
0.278	1.023938	
0.279	1.019467	
0.279	1.015558	
0.28	1.011245	
0.281	1.006887	
0.282	1.001172	
0.283	0.9940853	
0.284	0.9869283	
0.284	0.9815153	
0.285	0.97607	
0.286	0.9696004	
0.287	0.9633918	
0.288	0.9576216	
0.289	0.950955	
0.289	0.944824	
0.29	0.9395596	
0.291	0.9331208	
0.292	0.9258203	
0.293	0.9189813	
0.294	0.9118903	
0.294	0.9050258	
0.295	0.8989713	
0.296	0.891121	
0.297	0.8828195	
0.298	0.8760273	
0.299	0.8688309	
0.299	0.8629567	
0.3	0.857208	
0.301	0.8505245	
0.302	0.841692	
0.303	0.8336582	
0.304	0.8262098	
0.304	0.8177922	
0.305	0.8099764	
0.306	0.8046371	
0.307	0.7997105	
0.308	0.7926846	
0.309	0.7846987	
0.309	0.7776262	
0.31	0.7692344	
0.311	0.7604671	
0.312	0.7526252	
0.313	0.7458956	
0.314	0.7422074	
0.314	0.7371588	
0.315	0.731582	
0.316	0.72555	
0.317	0.7202566	
0.318	0.7144407	
0.319	0.7074422	
0.319	0.7022867	
0.32	0.6961145	
0.321	0.6902882	
0.322	0.6852674	
0.323	0.6807925	
0.324	0.6766355	
0.324	0.6736475	
0.325	0.6718867	
0.326	0.6681895	
0.327	0.6619578	
0.328	0.6562397	
0.329	0.6523575	
0.329	0.6487342	
0.33	0.6447362	
0.331	0.6411865	
0.332	0.63885	
0.333	0.6367511	
0.334	0.6338826	
0.334	0.6300339	
0.335	0.6269718	
0.336	0.6248191	
0.337	0.6223013	
0.338	0.6195485	
0.339	0.6176741	
0.339	0.6162819	
0.34	0.6145743	
0.341	0.6127911	
0.342	0.6104646	
0.343	0.6088063	
0.344	0.6075115	
0.344	0.6051224	
0.345	0.6016259	
0.346	0.5991176	
0.347	0.5972598	
0.348	0.5952887	
0.349	0.5935593	
0.349	0.5916439	
0.35	0.5905772	
0.351	0.5901336	
0.352	0.5877821	
0.353	0.584558	
0.354	0.5808298	
0.354	0.5776949	
0.355	0.5744526	
0.356	0.5729572	
0.357	0.5698144	
0.358	0.5671202	
0.359	0.565088	
0.359	0.5626783	
0.36	0.5600802	
0.361	0.5563522	
0.362	0.5527968	
0.363	0.5494598	
0.364	0.5458375	
0.364	0.5416576	
0.365	0.537783	
0.366	0.5348811	
0.367	0.5311101	
0.368	0.5271999	
0.369	0.5231766	
0.369	0.5189539	
0.37	0.5157675	
0.371	0.5123301	
0.372	0.5087912	
0.373	0.506388	
0.374	0.503406	
0.374	0.4999303	
0.375	0.4961935	
0.376	0.4909448	
0.377	0.4853714	
0.378	0.4821654	
0.379	0.4786491	
0.379	0.4750306	
0.38	0.4696544	
0.381	0.4651869	
0.382	0.462061	
0.383	0.4579388	
0.384	0.4534996	
0.384	0.4494091	
0.385	0.4455282	
0.386	0.4417252	
0.387	0.4386302	
0.388	0.434768	
0.389	0.4298463	
0.389	0.4262301	
0.39	0.4218155	
0.391	0.4173636	
0.392	0.4123842	
0.393	0.4075839	
0.394	0.4024412	
0.394	0.3972667	
0.395	0.3936403	
0.396	0.390178	
0.397	0.3867966	
0.398	0.3826633	
0.399	0.3784743	
0.399	0.374408	
0.4	0.3707622	
0.401	0.3688322	
0.402	0.3652396	
0.403	0.3593832	
0.404	0.3546808	
0.404	0.3495408	
0.405	0.344909	
0.406	0.3419506	
0.407	0.3374141	
0.408	0.3332751	
0.409	0.3274688	
0.409	0.32394	
0.41	0.3193274	
0.411	0.3162632	
0.412	0.3123641	
0.413	0.3108302	
0.414	0.3072898	
0.414	0.3053463	
0.415	0.3032389	
0.416	0.3003301	
0.417	0.2961588	
0.418	0.292549	
0.419	0.2886223	
0.419	0.2853156	
0.42	0.281485	
0.421	0.279369	
0.422	0.2751028	
0.423	0.2716661	
0.424	0.2681999	
0.424	0.2650028	
0.425	0.2620729	
0.426	0.2582321	
0.427	0.2531967	
0.428	0.2491602	
0.429	0.2450628	
0.429	0.2434019	
0.43	0.241731	
0.431	0.2384501	
0.432	0.2338878	
0.433	0.2300672	
0.434	0.2259937	
0.434	0.224055	
0.435	0.2209902	
0.436	0.2170347	
0.437	0.2120338	
0.438	0.2083465	
0.439	0.2050674	
0.439	0.2019686	
0.44	0.1978646	
0.441	0.193899	
0.442	0.1894619	
0.443	0.1861671	
0.444	0.183955	
0.444	0.1817512	
0.445	0.179276	
0.446	0.1778166	
0.447	0.175561	
0.448	0.1733694	
0.449	0.1714207	
0.449	0.1691363	
0.45	0.1659219	
0.451	0.1622888	
0.452	0.1597634	
0.453	0.1588095	
0.453	0.1569965	
0.454	0.1537977	
0.455	0.1496668	
0.456	0.145003	
0.457	0.1418051	
0.458	0.1395619	
0.458	0.1367459	
0.459	0.1349004	
0.46	0.1329472	
0.461	0.1301549	
0.462	0.1280205	
0.463	0.1255936	
0.463	0.1225031	
0.464	0.1191329	
0.465	0.1160558	
0.466	0.1137712	
0.467	0.109285	
0.468	0.1052701	
0.468	0.1022005	
0.469	0.09949084	
0.47	0.09681545	
0.471	0.0930073	
0.472	0.08979909	
0.473	0.08664422	
0.473	0.08304337	
0.474	0.07866601	
0.475	0.07535934	
0.476	0.07278412	
0.477	0.07094147	
0.478	0.06812381	
0.478	0.06476578	
0.479	0.06240124	
0.48	0.05954104	
0.481	0.0555566	
0.482	0.053301	
0.483	0.05068324	
0.483	0.04823988	
0.484	0.04545848	
0.485	0.04231062	
0.486	0.03940362	
0.487	0.03629311	
0.488	0.03444059	
0.488	0.03314657	
0.489	0.03105557	
0.49	0.02819757	
0.491	0.02494532	
0.492	0.02279065	
0.493	0.02069111	
0.493	0.01872462	
0.494	0.01571127	
0.495	0.01354344	
0.496	0.01125562	
0.497	0.007617309	
0.498	0.004083837	
0.498	0.001535413	
0.499	-0.0001744836	
0.5	-0.002751603	
