Chrom.1		
UV		
ml	mAU	
0.223	-0.180493	
0.224	-0.1828062	
0.225	-0.1838025	
0.226	-0.1861157	
0.227	-0.1876923	
0.227	-0.1891061	
0.228	-0.1915424	
0.229	-0.19281	
0.23	-0.1965694	
0.231	-0.1996722	
0.232	-0.2041189	
0.232	-0.2083314	
0.233	-0.2133717	
0.234	-0.2171651	
0.235	-0.2211034	
0.236	-0.2248307	
0.237	-0.2296056	
0.237	-0.2325431	
0.238	-0.2351855	
0.239	-0.2389015	
0.24	-0.2433554	
0.241	-0.2485213	
0.242	-0.2521926	
0.242	-0.2542985	
0.243	-0.2577084	
0.244	-0.2592399	
0.245	-0.2609857	
0.246	-0.2649296	
0.247	-0.2683197	
0.247	-0.2725026	
0.248	-0.2760462	
0.249	-0.2803146	
0.25	-0.2845951	
0.251	-0.2875766	
0.252	-0.2926182	
0.252	-0.2944552	
0.253	-0.2958882	
0.254	-0.2979888	
0.255	-0.3002299	
0.256	-0.3035315	
0.257	-0.3062044	
0.257	-0.3081169	
0.258	-0.3105443	
0.259	-0.3154084	
0.26	-0.3190289	
0.261	-0.3222352	
0.262	-0.3237297	
0.262	-0.3263305	
0.263	-0.329421	
0.264	-0.3331478	
0.265	-0.3373667	
0.266	-0.3405961	
0.267	-0.3418596	
0.267	-0.3453907	
0.268	-0.3480618	
0.269	-0.3502025	
0.27	-0.3522384	
0.271	-0.3548591	
0.272	-0.3585303	
0.272	-0.3604193	
0.273	-0.3652557	
0.274	-0.3696146	
0.275	-0.3726571	
0.276	-0.375566	
0.277	-0.3789371	
0.277	-0.3821542	
0.278	-0.3837358	
0.279	-0.385338	
0.28	-0.3872661	
0.281	-0.3901268	
0.282	-0.3920686	
0.282	-0.3926429	
0.283	-0.3958939	
0.284	-0.3992916	
0.285	-0.4012601	
0.286	-0.4021201	
0.287	-0.4034965	
0.287	-0.4042208	
0.288	-0.4057315	
0.289	-0.4072995	
0.29	-0.4090794	
0.291	-0.4120234	
0.292	-0.4136943	
0.292	-0.4131598	
0.293	-0.4148846	
0.294	-0.4154836	
0.295	-0.4165789	
0.296	-0.417189	
0.297	-0.4195383	
0.297	-0.4207539	
0.298	-0.4229777	
0.299	-0.426229	
0.3	-0.4288713	
0.301	-0.4307848	
0.302	-0.4319429	
0.302	-0.4338508	
0.303	-0.4365374	
0.304	-0.4388229	
0.305	-0.4419986	
0.306	-0.4449625	
0.307	-0.4492209	
0.307	-0.4516362	
0.308	-0.4561571	
0.309	-0.459738	
0.31	-0.4635598	
0.311	-0.4657327	
0.311	-0.4674434	
0.312	-0.4706424	
0.313	-0.4751428	
0.314	-0.4762989	
0.315	-0.4789283	
0.316	-0.4818262	
0.316	-0.4850034	
0.317	-0.4866621	
0.318	-0.489496	
0.319	-0.4906427	
0.32	-0.4923076	
0.321	-0.4960454	
0.321	-0.4982312	
0.322	-0.5013629	
0.323	-0.5035946	
0.324	-0.5055511	
0.325	-0.5071599	
0.326	-0.5100387	
0.326	-0.5124249	
0.327	-0.5147159	
0.328	-0.5176936	
0.329	-0.520384	
0.33	-0.5231223	
0.331	-0.5238274	
0.331	-0.5260655	
0.332	-0.5272029	
0.333	-0.5299222	
0.334	-0.5307159	
0.335	-0.5320905	
0.336	-0.5333937	
0.336	-0.5340948	
0.337	-0.5353134	
0.338	-0.5369875	
0.339	-0.537358	
0.34	-0.5399733	
0.341	-0.543593	
0.341	-0.5461892	
0.342	-0.5484392	
0.343	-0.5508134	
0.344	-0.5544024	
0.345	-0.5574805	
0.346	-0.5585998	
0.346	-0.558794	
0.347	-0.5592757	
0.348	-0.5608397	
0.349	-0.5625398	
0.35	-0.5642881	
0.351	-0.5660729	
0.351	-0.5683364	
0.352	-0.5717691	
0.353	-0.576126	
0.354	-0.5787162	
0.355	-0.5810548	
0.356	-0.5829837	
0.356	-0.5863052	
0.357	-0.5897239	
0.358	-0.5927644	
0.359	-0.594683	
0.36	-0.598541	
0.361	-0.5993993	
0.361	-0.6006697	
0.362	-0.6022699	
0.363	-0.6047638	
0.364	-0.6046927	
0.365	-0.6055617	
0.366	-0.6080172	
0.366	-0.6099511	
0.367	-0.6121879	
0.368	-0.6164926	
0.369	-0.6185209	
0.37	-0.6211079	
0.371	-0.6216397	
0.371	-0.6226219	
0.372	-0.6245336	
0.373	-0.6260486	
0.374	-0.6261032	
0.375	-0.6279553	
0.376	-0.6296611	
0.376	-0.6335157	
0.377	-0.6354589	
0.378	-0.637645	
0.379	-0.6383994	
0.38	-0.6415249	
0.381	-0.6434903	
0.381	-0.6465412	
0.382	-0.649143	
0.383	-0.6518856	
0.384	-0.6523872	
0.385	-0.6555083	
0.386	-0.6571496	
0.386	-0.6584479	
0.387	-0.6600369	
0.388	-0.6614109	
0.389	-0.6617897	
0.39	-0.6621842	
0.391	-0.662498	
0.391	-0.6639708	
0.392	-0.6664156	
0.393	-0.6688207	
0.394	-0.6711251	
0.395	-0.6730427	
0.396	-0.674014	
0.396	-0.6762505	
0.397	-0.6772429	
0.398	-0.6779293	
0.399	-0.6799387	
0.4	-0.6832656	
0.401	-0.6850069	
0.401	-0.685432	
0.402	-0.6866768	
0.403	-0.6870331	
0.404	-0.6878989	
0.405	-0.6893753	
0.406	-0.689804	
0.406	-0.6898203	
0.407	-0.6903828	
0.408	-0.6924391	
0.409	-0.6949162	
0.41	-0.6961599	
0.411	-0.6984196	
0.411	-0.7014019	
0.412	-0.7037193	
0.413	-0.7043474	
0.414	-0.7049325	
0.415	-0.7053859	
0.416	-0.7057184	
0.416	-0.7069457	
0.417	-0.7070948	
0.418	-0.7081509	
0.419	-0.710941	
0.42	-0.7106105	
0.421	-0.7110978	
0.421	-0.7120319	
0.422	-0.7137326	
0.423	-0.7165315	
0.424	-0.7190288	
0.425	-0.7192909	
0.426	-0.7208205	
0.426	-0.7235669	
0.427	-0.7261976	
0.428	-0.7273058	
0.429	-0.7269273	
0.43	-0.7266421	
0.431	-0.7280207	
0.431	-0.7285261	
0.432	-0.7290842	
0.433	-0.7313289	
0.434	-0.7328729	
0.435	-0.735428	
0.436	-0.7363769	
0.436	-0.7380627	
0.437	-0.7393007	
0.438	-0.7419515	
0.439	-0.7432263	
0.44	-0.7448015	
0.441	-0.7482454	
0.441	-0.7497404	
0.442	-0.7508893	
0.443	-0.7525575	
0.444	-0.7535217	
0.445	-0.7540564	
0.446	-0.7558929	
0.446	-0.7584041	
0.447	-0.760574	
0.448	-0.7623702	
0.449	-0.7648728	
0.45	-0.7679379	
0.451	-0.7697978	
0.451	-0.7712809	
0.452	-0.774184	
0.453	-0.7759227	
0.454	-0.7765813	
0.455	-0.7774122	
0.456	-0.7782048	
0.456	-0.7795975	
0.457	-0.7805333	
0.458	-0.7817758	
0.459	-0.7829092	
0.46	-0.7839496	
0.461	-0.7851807	
0.461	-0.7859284	
0.462	-0.7868552	
0.463	-0.7886402	
0.464	-0.790336	
0.465	-0.7909891	
0.466	-0.7930257	
0.466	-0.7954372	
0.467	-0.7972585	
0.468	-0.7982584	
0.469	-0.7988256	
0.47	-0.7993641	
0.471	-0.8015048	
0.471	-0.8038456	
0.472	-0.8057471	
0.473	-0.8068633	
0.474	-0.8099934	
0.475	-0.8106082	
0.476	-0.8120442	
0.476	-0.8135453	
0.477	-0.8143566	
0.478	-0.8163485	
0.479	-0.8174006	
0.48	-0.8196816	
0.481	-0.8216854	
0.481	-0.8224184	
0.482	-0.82226	
0.483	-0.8227789	
0.484	-0.8248109	
0.485	-0.8257678	
0.486	-0.8263567	
0.486	-0.8277849	
0.487	-0.8276908	
0.488	-0.8271394	
0.489	-0.8273532	
0.49	-0.8302588	
0.491	-0.8310745	
